x,y
18.71230688,11034.12
13.61320583,16340.26
17.58212046,25200.85
0.33767329,503.22
11.34590321,7029.99
65.25484819,38744.4
11.14746439,6907.11
12.3604469,16248.98
8.882747708,5693.5
227.330447,137951.25
3.78056411,4409.78
59.88490665,69030.41
28.68280886,20324.14
35.82556106,43559.2
8.760463755,6565.55
29.87696885,29841.45
15.08970227,17375.8
2.867915477,3508.45
10.87187294,7468.79
1.66264981,2371.92
1.634911529,2343.39
6.85108907,5241.62
6.932513741,8109.02
16.63749971,16405.71
0.665072796,958.94
39.05034122,45524.52
60.3326286,87418.26
5.183374684,7429.58
1.473692389,2110.55
32.60714088,46737.31
3.041965952,4403.71
11.96307076,14929.72
18.21664747,23286.62
9.322561495,13362.46
2.008678417,2444.04
2.520515507,3612.83
2.863502011,4104.49
13.93141775,16704.21
19.45220415,12052.7
5.931053766,7255.78
19.19456365,17787.74
1.460206965,1660.47
10.50749379,15658.85
6.802167439,10379.87
0.415198743,502.72
5.583617848,6775.93
2.822706615,3633.52
1.835106002,2630.35
5.116367352,6417.82
9.857471315,12666.23
33.26900456,18524.81
22.72378113,14079.74
0.697566968,995.18
35.67723676,43338.84
27.84751975,16420.7
4.163756742,5089.12
14.01398988,20305.5
19.30718841,11962.84
1.078728018,1546.23
3.418170071,3457.53
13.45268169,10271.62
27.54994754,28669.92
21.86545567,26449.07
11.73683702,14345.24
27.54628844,39483.72
3.707955183,5314.83
0.360756859,529.6
3.13220914,4489.6
11.06125291,13519.45
7.496629346,9162.74
1.088198404,1559.79
9.592697215,13749.63
1.735156765,2487.08
4.142433051,5290.6
0.822447432,947.99
0.392910017,604.57
11.24611338,16119.67
0.510253675,731.4
42.1158872,25905.49
4.650838556,652.82
8.201568361,10024.31
58.0554081,34233.14
79.47419095,46861.86
9.679107775,5952.93
5.276372496,7562.87
7.900661869,11324.44
4.484589429,5442.68
0.578328859,833.86
0.429268245,609.41
41.82416815,60600.48
3.098653023,4489.75
25.08250531,30339.19
14.37826887,8908.9
3.992303439,5722.35
2.255011066,2756.18
74.91867181,107384.31
1.579940868,2252.06
7.406428223,10616.21
16.80674009,19372.8
31.7416407,33463.93
2.604403214,3089.68
14.03271303,8694.76
4.309292671,5257.18
3.972600296,5694.12
59.18932949,34903.13
8.492213782,10845.75
50.50541991,58671.5
8.357440504,5745.07
5.227475288,6196.88
66.39318291,39150.63
2.871678617,813.51
5.065508444,7260.63
0.504204682,629.22
68.95326468,40659.1
2.34109351,3355.59
361.1807676,201115.04
7.519564762,9104.41
2.734830901,3919.98
163.0144419,96123.21
59.4024974,35110.59
104.185932,149285.62
12.16965094,7540.47
11.84771702,13556.7
4.113409291,4741.25
58.75175081,34173.89
18.96285816,11749.49
20.03600542,23751.45
0.36691434,506.44
28.0949176,16605.95
3.765917088,5397.86
37.85339908,22320.83
0.429268245,609.41
95.36156881,49783.26
2.432902546,3329.75
13.1126012,18999.37
12.03894683,13775.41
5.370007736,6501.81
8.225084496,11789.58
4.513519823,5487.87
6.770177803,4153.6
0.833650431,1049.61
9.778465499,6058.84
7.952517178,10227.79
9.28911176,10725.72
1.461760694,2118
7.700704275,11028.45
26.47746173,29507.55
26.67113276,16525.56
8.357440504,5745.07
11.38091361,13511.4
1.323240498,1887.71
11.47600804,14236.53
3.903461243,5655.84
61.24807721,36115.61
7.271236186,8895.28
42.88669482,49436.3
21.0005792,12412.84
2.387318554,3005.75
1.029589391,1475.76
43.41581787,62229.87
5.256418982,6364.29
4.114262075,5254.42
18.29640474,26225.45
17.23469921,21064.88
8.270016189,11853.92
42.0750885,24810.14
37.83758261,54234.34
26.1536075,31049.95
0.768867665,1148.6
1.717354691,2461.56
1.33678511,1907.05
48.21427774,69107.69
25.68961004,32030.54
17.88398922,11081.05
11.87314583,17018.5
5.588258288,6836.39
3.847949161,5515.47
34.138521,49482.06
163.0552956,84176.62
22.74676598,14094.01
217.09191,115774.93
7.040649668,8605.35
22.23953771,13779.72
12.3290009,14615.37
10.55168282,9009.5
3.25923856,3983.59
3.089365125,3775.95
2.079552081,2541.77
6.348678585,4069.31
3.861557708,5534.95
1.485262357,1192.45
14.98322845,14559.17
49.26184196,56728.8
40.35906116,31737.35
42.46960052,25940.83
13.9639665,8652.15
0.588506642,839.58
4.555855738,5568.33
1.27870115,1564.31
7.273934104,10426.05
0.762990412,1044.22
8.338095428,10095.45
0.429311793,615.16
2.073013805,2533.71
7.932448254,11369.95
19.92743093,28563.01
4.345111311,5369.3
0.793033437,1142.41
13.19413462,15663.25
5.294519426,7252.76
2.715349792,1757.62
5.91908663,7234.55
18.28142049,23016.86
8.41125328,10174.12
4.777524421,6420.77
3.669046092,5064.39
18.95287045,23185.98
16.15062056,20136.92
4.347621494,6263.06
2.502487825,3585.77
1.291120315,1850.63
20.39114481,12052.58
5.3066928,7606.34
4.777178086,6921.96
1.61101048,2309.19
9.549072653,9929.45
7.308421162,10475.92
1.759438738,2510
42.01364033,60222.52
81.51841771,48068.25
20.7735274,29775.83
49.84992199,71452.13
5.242243151,3360.14
3.746203751,5369.61
32.18085246,39127.24
14.64702283,17902.14
269.8818641,188723
2.713412569,3319.45
11.26623552,14388.48
0.895720776,1040.6
1.90023555,2723.7
41.89250973,60044.84
0.807057915,987.35
15.78421999,22870.35
4.405561531,6314.73
1.101041433,1587.54
0.811832552,1158.16
3.976652688,5756.77
12.73024683,18434.74
19.45415193,12053.94
0.863872324,1113.88
1.802709107,2583.91
2.136676598,1523.35
42.73380002,26477.98
31.58231587,15801.82
118.5286765,137554.32
21.51302703,31143.32
2.421785715,3471.29
9.527742455,13656.76
4.713603704,6756.23
35.3867197,42984.87
1.940579926,2781.55
29.17631471,35474.57
4.76732691,6795.54
1.465876018,2101.11
23.26631416,33348.69
11.88543075,15624.59
1.46692714,2090.94
32.23630182,46708.32
21.38892675,13252.65
17.42376556,18985.58
1.416583,2030.45
23.83981287,28985.82
2.105463688,3052.77
4.612268507,5450.94
12.12898721,7460.46
5.301093918,7680.93
6.716078435,6746.3
4.591422221,5559.12
2.651325042,3143
17.0193521,24660.02
0.37160281,503.78
1.552961045,967.45
59.90088252,35320.52
16.5315202,23953.33
5.609240409,8033.21
4.167239938,2437.73
10.33421464,10453.27
0.774740273,961.11
453.6366687,650208.31
2.127281985,3049.02
2.619032198,3204
36.67601749,27569.17
5.910711265,8472.18
10.815312,15502.13
24.23206853,29310.68
21.84884498,21929.63
26.76858993,16585.92
278.6503562,160503.96
1.744568289,1165.17
15.90459825,22796.97
28.38903819,36511.18
20.7707797,12247.86
17.9131191,21688.58
8.272526556,6141.44
2.084042877,2987.2
107.268597,63208.51
14.52970496,17665.82
3.538522451,4092.1
7.898096416,11320.98
43.37126976,21591.97
21.6383352,31015.23
14.90949608,9238.09
24.8306583,35978.17
11.40128771,16341.95
41.36954461,24394.09
3.603140865,5164.56
107.9712523,156444.05
29.17343985,18075.95
66.97481109,46079.93
12.29362017,14884.27
24.72354962,35366.7
1.100702181,1519.3
7.358331579,8316.07
3.793341699,5437.27
13.69992093,19636.9
2.209230583,2700.23
0.36691434,506.44
1.19206777,1441.94
6.140315066,7511.8
26.64055832,34055.15
3.376665457,5032.08
6.280857573,9002.64
2.808558008,4069.43
30.74086266,23774.49
19.74264215,28298.22
11.34918879,16444.26
60.51107474,35765.88
1.869370004,2284.84
24.12473296,17862.58
2.480116069,3554.87
6.267008342,7580.52
0.509559622,730.39
0.959758618,1369.19
24.1624726,27824.71
2.067066035,2962.7
3.207213862,4597.12
0.947920719,1358.7
431.1113705,240054.2
10.40144511,14908.89
10.00313024,14337.99
3.43932952,4983.37
31.79977744,36884.03
6.716164426,8151.03
59.32578472,34982.25
10.79750199,6685.45
123.6053509,142020.84
27.821922,39878.41
3.383941259,4850.45
0.657498318,942.46
12.22909843,7521.96
4.357881451,5236.96
2.704768211,3271.64
0.365123497,205.17
23.83142099,29154.13
28.18516535,17348.9
4.025976348,5292.55
5.299205478,6476.86
26.08412279,27609.01
25.57459907,31095.37
4.112951445,5027.04
0.760019263,1089.39
14.31935216,16974.5
13.90952375,16841.18
0.513133609,732.05
4.470335198,5463.81
1.322358459,1895.41
22.99005156,32952.78
0.655852287,940.11
18.74484251,11614.31
10.61058773,15208.76
27.84034759,32999.98
2.080133306,2981.6
8.755168916,12549.23
0.36691434,506.44
3.563508254,5106.23
1.834610055,2277.93
9.591851466,11370.73
24.71713413,35428.2
1.604659422,2300.04
4.913688318,7119.66
48.06285379,49955.86
1.4389162,1742.21
4.290878728,6217.24
8.437524701,12093.9
19.37559213,10572.08
0.885235283,1268.85
12.44327018,7354.91
16.09705673,18021.78
31.08179663,18327.8
1.115415881,1363.32
1.048440846,1517.76
10.13650787,14529.15
2.798031549,4010.56
1.881798508,1986.98
23.20322577,28186.01
3.779041339,5416.66
2.90564174,4191.1
22.85946102,25315.41
3.926423128,5019.26
29.62871103,18346.19
0.926703062,1328.28
4.256333884,5571.31
14.10839933,8741.65
2.926175452,4190.68
1.416069881,2051.8
1.603112603,2297.82
2.266219337,3248.29
3.656357124,4455.9
2.392077875,3465.95
16.29865446,19920.97
24.94285938,14567.61
17.8929571,10575.97
5.341075102,7655.6
24.60765869,27839.19
7.440559468,10614.31
5.894448908,7204.45
18.00296102,23013.53
146.9951445,202898.16
22.84472903,14154.68
2.88425333,3303.43
7.061047139,8630.32
8.504322114,12189.41
7.781245499,11153.36
30.36655979,17628.09
18.6006919,21021.69
20.64995798,26372.84
10.94130347,6467.11
0.625908944,897.15
14.97365428,17242.09
60.26997285,86387.7
1.939658657,2442.1
1.002679196,1437.16
0.374785231,508.07
88.09492822,102341.18
10.7615251,15578.82
4.901900455,5434.75
50.13107229,26735.02
12.85810873,15715.66
33.33608664,47782.15
0.923648879,1146.87
42.36393634,60722.19
33.26920837,47686.48
26.66201278,16519.87
0.732429945,1044.89
44.01124398,53462.44
8.583968984,5501.97
21.68119338,24187.33
11.44807296,15801.83
1.913265149,2338.49
2.000631513,2447.47
28.82634101,17590.18
16.14010486,19541.59
29.50202645,35054.96
7.411442218,10623.26
1.950154622,2795.27
22.96980746,34230.81
114.5862815,132085.04
42.28977469,49639.24
54.03116718,31838.09
9.994493143,12398.76
9.903224021,14349.32
0.996752557,1428.69
5.374895006,6528.89
1.456751735,2086.35
37.91534027,22053.56
10.39202359,11479.7
22.23834249,13778.99
27.60764662,31791.43
9.930021671,6152.78
1.089988123,1372.33
11.42835048,16380.72
0.675630641,838.91
0.675921757,1006.39
39.31473457,56351.66
11.61165302,11663.62
50.35542674,61415.81
7.404851991,10667.22
13.48923941,16371.07
14.93747019,16283.88
26.01618099,16119.73
1.976940987,2850.44
0.814910379,990.89
154.0737107,146462.89
1.862017492,2668.94
0.822587924,1005.41
3.308480074,3530.76
9.602877648,13918
51.0237302,73134.63
3.308715119,4044
9.120839919,5691.63
20.94285282,30823.38
36.03879508,22329.72
13.57607056,16094.08
68.82170766,79331.28
24.11857399,29174.01
19.20310444,22588.67
17.04712298,10562.49
24.49474567,35109.43
2.640739565,3785.15
7.908384386,5860.28
2.983854763,4276.99
28.95771945,33639.81
9.397614725,13469.59
1.529731703,1348.46
4.255799136,4271.54
4.292992981,5231.74
5.832797054,8357.63
22.14586866,21105.73
35.14760619,50378.84
14.75502186,21149.13
27.01680804,16739.77
0.726703045,1035.84
3.201760251,3256.66
7.775293856,9668.19
41.57441235,59591.19
11.22528814,16089.9
46.04785976,54588.75
16.87375621,15636.92
3.923935533,4796.04
16.36691661,20004.31
23.57912127,23684.61
2.776756506,3980.04
22.51973645,25761.97
3.036044047,4399.05
199.1360845,110884.44
10.6347641,6589.37
1.651331197,2079.11
31.22602923,43136.31
0.738809831,1058.98
8.394506818,12032.29
16.71521981,11490.31
42.12999405,51008.13
4.183381692,5233.34
40.86912626,47477.09
25.10060169,35977.97
13.50664987,20128.33
1.756295044,2544.75
10.53228511,15096.48
2.429485705,2938.64
55.66741514,32824.98
4.131733894,5050
2.759620943,3955.49
7.532226916,9180.67
17.5119351,25193.62
7.752639978,8537.44
12.56776479,18209.88
2.597208881,3722.77
1.025334532,1469.71
3.342824585,2297.96
77.74243467,97021.19
5.989621072,8678.58
16.84094373,19266.59
6.690845124,9590.29
13.83378057,17465.39
23.15349292,13652.83
6.64736544,4088.35
5.566108279,6803.2
1.61336766,2001.43
5.658979676,4690.22
9.417295218,11510.14
41.96406839,26000.99
5.197464865,7408.54
6.756037957,9683.76
1.80177769,2582.57
5.227073086,5276.27
8.357544859,5745.13
1.007249056,1228.66
51.70902804,30078.31
17.95829526,25739.65
3.107428127,3798.01
33.8840284,39058.42
1.868413337,2677.21
49.34941654,29076.73
3.981241332,2442.61
2.807432925,4024.02
28.60741443,16908.83
20.7050532,24052.44
3.731320462,5348.24
26.70331669,16545.49
28.94002912,17918.95
10.29639564,14758.53
17.00892097,10538.8
9.226054891,13368.2
34.77866432,49849.8
189.8140061,272070.5
2.797489661,4009.78
37.78356675,54156.89
93.15391522,54929.31
0.966022564,1181.78
23.33831511,14460.51
5.672909257,8131.43
5.832268997,8359.67
0.602968659,613.27
8.831767713,12658.98
18.48422717,26494.27
60.18046009,35486.13
47.8441267,28404.17
5.127017646,7348.89
14.85835271,21297.18
1.630204319,1994.31
1.524065405,1308.63
13.16409951,16930.39
2.885836213,1876.38
10.27606828,12559.93
17.26198929,23441.27
2.155623608,1402.56
3.825254759,5482.91
6.197750552,8883.53
23.21838458,14386.17
8.780995083,12586.24
9.518203719,13791.06
4.351092306,5280.2
394.9441997,572249.1
1.482376311,1179.43
8.395051915,10530.46
12.28314275,11959.17
0.706896021,1013.24
15.32311027,18728.47
8.411263234,5391.36
35.14198177,42688.77
68.01164455,98543.92
18.47256363,10931.31
1.860928665,2654.77
15.44614745,19866.22
95.17625929,130130.41
1.839823908,2248.71
14.3827276,17487.16
32.55338429,33876.1
0.571663067,819.38
70.12033126,84817.24
2.443447036,2986.51
10.30762094,10063.52
1.163449851,1676.05
13.62155122,13682.65
25.49050791,17511.45
2.408536928,3452.28
20.73121596,25206.4
43.65002356,27045.64
14.31735375,17089.61
2.29874362,2309.05
96.62762505,48466.54
1.5944869,2274.67
13.52147502,16424.08
60.31483781,35084
10.01094566,6157.62
3.840859306,1257.98
205.2977897,121601.51
14.37413739,16021.69
1.936972072,2806.54
8.602961331,5514.16
3.685170494,5252.87
24.29269031,12043.19
1.435472724,1756.07
33.49829777,48536.41
1.510260026,2164.81
2.313508263,2962.47
10.57615622,12805.22
